id,title,author,genre,description,rating,year,cover_id
137,The Prince and the Pauper,Mark Twain,Readers,Readers Fiction Poor Kings and rulers Impostors and imposture Poor children Boys Classic Literature Princes Adventure and adventurers,0,1881,8221267
138,The Foundation Trilogy,Isaac Asimov,American Science fiction,"American Science fiction Fiction Psychohistory Science fiction Life on other planets Prophecies Fiction, science fiction, general Abenteuer Science-Fiction-Literatur Weltraum",0,1950,6502517
139,November 9,Colleen Hoover,Long-distance relationships,"Long-distance relationships Novelists Fiction Fiction, romance, contemporary New York Times Bestseller Fiction, romance, new adult",0,2015,9219001
140,The Hobbit,J.R.R. Tolkien,Fantasy,Fantasy Arkenstone Battle of Five Armies invisibility thrushes eagles hobbits wizards dragons dwarves,0,1937,14627509
141,The End of Eternity,Isaac Asimov,Time travel,"Time travel Fiction Fiction in English Science fiction Fiction, science fiction, general Large type books Science-fiction American Science fiction Themes Alternate history",0,1955,6622699
142,One Of Us Is Lying,Karen M. McManus,Children's fiction,"Children's fiction Mystery and detective stories Murder, fiction Schools, fiction Young adult fiction Juvenile fiction Fiction YOUNG ADULT FICTION / Social Themes / Friendship Murder YOUNG ADULT FICTION / Mysteries & Detective Stories",0,2014,12503935
143,The Secret Adversary,Agatha Christie,Classic Literature,"Classic Literature English language Fiction Married people Murder Mystery Private investigators Problems, exercises Report writing Rhetoric",0,1922,14590159
144,Circe,Madeline Miller,Fantasy,"Fantasy Mythology Historical Fiction Retellings Gods Fiction Paranormal fiction Fiction, fantasy, historical nyt:combined-print-and-e-book-fiction=2018-04-29 New York Times bestseller",0,2018,8739376
145,The Sea of Monsters,Rick Riordan,Serie:Percy_Jackson_and_the_Olympians,"Serie:Percy_Jackson_and_the_Olympians Fiction Fantasy Greek Mythology Juvenile fiction Camps Friendship Camps, fiction Adventure and adventurers Middle school students",0,2005,108909
146,Under the Dome,Stephen King,Fiction,Fiction Veterans City and town life Good and evil Psychological fiction Thrillers Fantasy fiction Suspense fiction Iraq War nyt:trade_fiction_paperback=2010-07-04,0,2009,14651549
147,Murder on the Links,Agatha Christie,Fiction,Fiction Hercule Poirot (Fictitious character) Private investigators Murder Investigation English Detective and mystery stories Mystery Golf courses English literature Identity,0,1923,14582832
148,The Sign of Four,Arthur Conan Doyle,Crime & Mystery,Crime & Mystery classic fiction Andamanese arrow poisons bloguns convicts crime & mystery fiction crocodiles Detective and mystery fiction Fiction,0,1889,9247987
149,The Valley of Fear,Arthur Conan Doyle,English Detective and mystery stories,"English Detective and mystery stories Fiction Private investigators Private investigators in fiction Romans Roman policier anglais Detective and mystery stories Chinese Detective and mystery stories England, fiction Moriarty, professor (fictitious character), fiction",0,1914,8350377
150,The blue castle,Lucy Maud Montgomery,Juvenile fiction,"Juvenile fiction Friendship Self-actualization (Psychology) Choice History Single women Fiction Romance fiction Fiction, historical, general Fiction, general",0,1926,14640067
151,The Fall of Hyperion,Dan Simmons,Littérature américaine,"Littérature américaine Science-fiction américaine Science-fiction Fiction, science fiction, action & adventure Fiction, science fiction, general",0,1990,484900
152,Small Gods,Terry Pratchett,Discworld (Imaginary place),"Discworld (Imaginary place) Science fiction Fantasy fiction Fiction Fantasy Discworld (imaginary place), fiction Fiction, fantasy, general Fiction, humorous Comics & graphic novels, fantasy Science fiction, fantasy, horror",0,1992,14648232
153,The Midnight Library,Matt Haig,nyt:combined-print-and-e-book-fiction=2020-10-18,"nyt:combined-print-and-e-book-fiction=2020-10-18 New York Times bestseller New York Times reviewed Fiction, science fiction, general Fiction, fantasy, general Future life Fiction Regret Choice (Psychology) Libraries",0,2020,10313767
154,Giovanni's Room,James Baldwin,Race relations,"Race relations African Americans Psychology Afro-Americans Giovanni, Nikki Fiction Americans in fiction Americans Sexual behavior Homosexuality in fiction",0,1956,97395
155,Speak,Laurie Halse Anderson,Children's fiction,"Children's fiction Interpersonal relations, fiction Schools, fiction Rape, fiction Mental health Teenage girls Emotional problems Social isolation Juvenile fiction Fiction",0,1999,10857543
156,The Plot Against America,Philip Roth,American Historical Fiction,"American Historical Fiction Roth, Philip - Prose & Criticism Fiction Fiction - General Spanish: Adult Fiction Historical - General Political Elección Alternative histories (Fiction) Jews",0,2004,8349176
157,Animal Farm / Nineteen Eighty-Four,George Orwell,domestic animals,domestic animals totalitarianism Satire Fiction Political fiction Science fiction Dystopias Fables literature fantasy,0,1978,10524365
158,Fire and Ice,Erin Hunter,Cats,"Cats Fantasy Fantasy Fiction Feral Cats Fiction Juvenile Fiction Children's fiction Cats, fiction Young adult fiction Animals",0,2003,27365
159,Nightfall,Isaac Asimov,American Science fiction,"American Science fiction American Fantasy fiction Fiction, science fiction, general Science fiction",0,1969,9302081
160,We Have Always Lived in the Castle,Shirley Jackson,mystery,mystery first-person narrative Fiction Literature Gothic fiction psychological fiction Sisters Murder Investigation Social isolation,0,1962,11545332
161,Jane Eyre,Charlotte Brontë,Fiction,"Fiction Romance Historical"" Man-woman relationships, fiction Charity schools, fiction Married people, fiction Married men fiction"" Country homes, fiction Fathers and daughters, fiction",0,1847,8235363
162,The Hunger Games,Suzanne Collins,severe poverty,severe poverty starvation oppression effects of war self-sacrifice Science fiction Apocalyptic fiction Dystopian fiction Fiction Juvenile works,0,2008,12646537
163,The Tombs of Atuan,Ursula K. Le Guin,Magic,Magic Novela fantástica estadounidense Magic in fiction Fiction Fantasy Wizards American Fantasy fiction Children's stories Wizards in fiction Magic -- Fiction,0,1971,6633403
164,Equal Rites,Terry Pratchett,Fantasy,"Fantasy Fiction Samuel Vimes (Fictitious character) Discworld (Imaginary place) Fiction, science fiction, general Science fiction Wizards Fantasy fiction Discworld (imaginary place), fiction Fiction, fantasy, general",0,1987,6925774
165,Matilda,Roald Dahl,juvenile fiction,"juvenile fiction Schools Girls Spanish language Translations from English Fiction Humorous stories Écoles Romans, nouvelles, etc. pour la jeunesse Filles",0,1988,12889769
166,The Twits,Roald Dahl,humorous stories,humorous stories animals Open Library Staff Picks animal welfare practical jokes fiction children's stories juvenile fiction revenge tricksters,0,1967,14838233
167,"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,Girls,Girls Juvenile fiction Time Literatura infantil alemana fiction fantasy interest tortoises future lilies,0,1973,8574580
168,Can We Be Strangers Again?,Shrijeet Shandilya,Young adult fiction,Young adult fiction,0,2024,15073759
169,The Darkest Hour,Erin Hunter,Cats,Cats Fantasy Fantasy Fiction Feral Cats Fiction Juvenile Fiction JUVENILE FICTION / Animals / Cats JUVENILE FICTION / Action & Adventure / General JUVENILE FICTION / Fantasy & Magic Children's fantasy fiction,0,2004,8761300
170,Desire for Revenge,Penny Jordan,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary One night stand, fiction Revenge, fiction Sexual harassment,  fiction Publishing, fiction Authors, fiction Fiction, thrillers, suspense",0,1986,6794342
171,Little Women,Louisa May Alcott,Romans,"Romans Jeunes filles Soeurs Sisters Young women Fiction Fiction, women Young women, fiction Family life Literatura Norte Americana",0,1848,8775559
172,The Mote in God's Eye,Larry Niven,American Science fiction,"American Science fiction Science fiction Fiction in English Life on other planets Fiction Fiction, science fiction, general American literature",0,1974,408133
173,The Wind in the Willows,Kenneth Grahame,Children's fiction,"Children's fiction Animals, fiction Friendship, fiction England, fiction Fiction Animals Friendship Juvenile fiction Toy and movable books Country life",0,1908,13335427
174,Der Steppenwolf,Hermann Hesse,Fiction,Fiction Life Western Civilization Psychological fiction Continental european fiction (fictional works by one author) German fiction Western civilization in fiction Translations into Russian Life in fiction Ficción,0,1927,3221083
175,Artemis,Andy Weir,Fiction,"Fiction Science fiction Smuggling Conspiracies Fiction, science fiction, hard science fiction Fiction, science fiction, action & adventure Conspiraciones Contrabando Luna Ficción",0,2017,8235551
176,The Italian's Inexperienced Mistress,Lynne Graham,"Fiction, Romance, Contemporary, Modern","Fiction, Romance, Contemporary, Modern Passion, fiction Mistresses, fiction Revenge, fiction Man-woman relationships, fiction Italy, fiction Mate selection, fiction Italians, fiction Bachelors, fiction Fiction, romance, general",0,2007,1185939
177,The Virgin Suicides (Bloomsbury Classic),Jeffrey Eugenides,"Fiction, psychological","Fiction, psychological Young women, fiction Sisters, fiction Fiction, urban Michigan, fiction Fiction, city life Teenagers Fiction Suicidal behavior Suburban life",0,1993,486854
178,Odd Thomas,Dean Koontz,Cooks,"Cooks Mediums Murderers Fiction Paranormal fiction Fiction, horror Fiction, psychological Deserts Young men",0,2003,7075051
179,The Girl Who Loved Tom Gordon,Stephen King,Little House on the Prairie,Little House on the Prairie psychological fiction adventure stories suspense thrillers Adventure fiction audiobooks Open Library Staff Picks Boston Red Sox Pitchers (Baseball),0,1999,14653580
180,Chapterhouse Dune,Frank Herbert,Dune (Imaginary place),"Dune (Imaginary place) Fiction Science fiction Dune (imaginary place), fiction Fiction, science fiction, general Literature Fiction, science fiction, action & adventure American literature",0,1985,5536140
181,Nineteen Eighty-Four,George Orwell,futurology,futurology censorship surveillance rebels sting operations historical negationism memory holes thoughtcrime Outer Party resistance movements,0,1949,9267242
182,The Hero of Ages,Brandon Sanderson,Fiction,"Fiction Fantasy Epic Fantasy Fantasy fiction Fiction, fantasy, general Children's fiction Imaginary places Magic",0,2008,14658094
183,The Dragonet Prophecy,Tui T. Sutherland,Dragons,"Dragons Juvenile fiction Prophecies Fantasy Fiction Adventure and adventurers Fantasy fiction Friendship, fiction Adventure and adventurers, fiction Children's fiction",0,2012,13460810
184,Harry Potter (series) 1-7,J. K. Rowling,New York Times bestseller,"New York Times bestseller nyt:series_books=2006-09-16 Juvenile fiction Fiction Wizards Magic Schools Children's fiction Potter, harry (fictitious character), fiction Hogwarts school of witchcraft and wizardry (imaginary organization), fiction",0,1999,8457523
185,The Robots of Dawn,Isaac Asimov,American Science fiction,"American Science fiction Robots Fiction Fiction, science fiction, hard science fiction Fiction, mystery & detective, general Fiction, science fiction, general fiction"" American literature Elijah Baley (Fictitious character) Long Now Manual for Civilization",0,1983,14372309
186,The Vampire Lestat,Anne Rice,nobility,"nobility vampire novels Fiction Vampires Romance Literatura norte-americana Vampires -- Fiction horror tales Fiction, thrillers, general France, fiction",0,1986,8579529
187,Anne of Windy Poplars,Lucy Maud Montgomery,Juvenile fiction,"Juvenile fiction High school principals High schools French fiction Translations from English Children's fiction Prince edward island, fiction Teachers, fiction Shirley, anne (fictitious character), fiction Teachers",0,1936,14640411
188,Ulysses,James Joyce,Married people,"Married people Male friendship Fiction Historical Fiction Psychological fiction Alienation (Social psychology) Textual Criticism Molly Bloom (Fictitious character) Bloom, Molly (Personaje literario) Men",0,1914,13136548
189,The Clan of the Cave Bear,Jean M. Auel,Neanderthals,Neanderthals shamanism sign language taboos prehistoric fiction epic epic fiction prehistoric man epic literature historical fiction,0,1900,12529015
190,Kane & Abel,Jeffrey Archer,Titanic,"Titanic Poles Boston Brahmins Historical fiction hotelkeepers Peasants Capitalists and financiers Fiction Peasantry Fiction, sagas",0,1979,11279169
191,The Light Fantastic,Terry Pratchett,Fiction,"Fiction Discworld (Imaginary place) Samuel Vimes (Fictitious character) Fantasy Discworld (imaginary place), fiction Fiction, fantasy, general Fiction, humorous Rincewind the wizard (fictitious character), fiction Fiction, humorous, general Literature and fiction, fantasy",0,1986,6531015
192,The Iron Heel,Jack London,"Revolutions, fiction","Revolutions, fiction Oligarchy, fiction Utopias,  fiction Revolutionaries, fiction Dysyopias, fiction Science Fiction Socialism,  fiction Classic Literature American fiction (fictional works by one author) Fiction, political",0,1907,8243314
193,The Dispossessed,Ursula K. Le Guin,Anarchism,Anarchism Anarquismo Ciencia-ficción Communal living Ficción Fiction Fiction in English Físicos Hugo Award Winner Life on other planets,0,1974,6979680
194,Along Came a Spider,James Patterson,Fiction,Fiction Police Secret service Private schools Alex Cross (Fictitious character) Police psychologists African American police Psychological fiction Mystery Kidnapping,0,1993,189680
195,The Enchanted Castle,Edith Nesbit,Fiction,Fiction Fantasy Magic Rings Friendship History England Brothers and sisters Wishes Juvenile fiction,0,1907,6644514
196,A Tale of Two Cities,Charles Dickens,British,British British and irish fiction (fictional works by one author) Children's fiction Criticism and interpretation English fiction English literature Executions and executioners Fathers and daughters Fiction classics,0,1800,13301713
197,The Spanish Groom,Lynne Graham,"Fiction, Romance, Contemporary","Fiction, Romance, Contemporary Businessmen, fiction Betrothal, fiction Deception, fiction Stepsisters, fiction",0,1999,14417140
198,The Haunting of Hill House,Shirley Jackson,Haunted houses,Haunted houses Fiction Large type books Casas embrujadas Cuentos de terror Ficción Gothic revival (Literature) Horror tales Novela gótica Novela psicológica,0,1959,4289014
199,Sideways Stories from Wayside School,Louis Sachar,Schools,"Schools Humorous stories Schools in fiction Fiction Juvenile fiction Children's fiction Schools, fiction Short stories Students, fiction School attendance, fiction",0,1978,6746131
200,"Good Girl, Bad Blood",Holly Jackson,Young adult fiction,"Young adult fiction thrillers & suspense crime"" Young adult fiction, law & crime Young adult fiction, family, blended families Young adult fiction, romance, contemporary Young adult fiction, school & education, college & university Young adult fiction, diversity & multicultural",0,2020,11466695
201,Hopeless,Colleen Hoover,"Fiction, Romance, Contemporary, Life change events","Fiction, Romance, Contemporary, Life change events Life change events Fiction Fiction, romance, general",0,2013,10549926
202,His Last Bow [8 stories],Arthur Conan Doyle,short stories,short stories Detective and mystery fiction Fiction Mystery fiction Historical fiction Classic Literature English Detective and mystery stories Mystery Private investigators Romans,0,1917,8243267
203,Dune Messiah,Frank Herbert,American Science fiction,American Science fiction Dune (Imaginary place) Fiction Imaginary places Science Fiction Translations into Russian Novela Dune (Lugar imaginario) Lectures et morceaux choisis Anglais (langue),0,1969,980253
204,Treasure,Clive Cussler,Invasions,Invasions Dirk Pitt (Fictitious character) Fiction Treasure troves Treasure-trove Adventure fiction Adventure stories Alexandrian Library History Large type books,0,1988,8231769
205,Moby Dick,Herman Melville,American Sea stories,American Sea stories Mentally ill Whaling Science Fiction & Fantasy Whales great_books_of_the_western_world Translations into French Literature Captain Ahab (Fictitious character) American Adventure stories,0,1851,10544254
206,"The Stars, Like Dust",Isaac Asimov,Science fiction,"Science fiction Space colonies Imperialism Manned space flight Fiction Fiction, science fiction, action & adventure Fiction, science fiction, general fiction Long Now Manual for Civilization American Science fiction",0,1951,6565338
207,The Road,Cormac McCarthy,Fiction,Fiction Dystopia Adventure post-apocalyptic fiction extinction event Open Library Staff Picks Fathers and sons Survival skills Regression (Civilization) Voyages and travels,0,2006,198120
208,Adventures of Huckleberry Finn,Mark Twain,adventure and adventurers,adventure and adventurers Adventure stories American fiction (fictional works by one author) American literature Boys Child and youth fiction Children's fiction child witnesses Courtship English language,0,1876,8157718
209,Orlando,Virginia Woolf,Nobility in fiction,Nobility in fiction Gender identity in fiction Fiction England in fiction Transsexuals Sex role in fiction Characters and characteristics in literature Textual Criticism Literature Mujeres,0,1928,3240273
210,The Awakening,Kate Chopin,Adultery,Adultery American literature Classic Literature Criticism and interpretation feminist fiction feminist literature Fiction History Interpersonal attraction Interpersonal relations,0,1899,8750241
211,Crown of Midnight,Sarah J. Maas,Kings and rulers,"Kings and rulers Assassins Love Courts and courtiers Juvenile fiction Fiction Fantasy Kings, queens, rulers Love stories Children's fiction",0,2013,14348029
212,Flatland,Edwin Abbott Abbott,Fourth dimension,"Fourth dimension Fiction, general Open Library Staff Picks Denkbeeldige landen Film and video adaptations Meetkunde Science Fiction Geometry Film adaptations Fiction",0,1884,10069547
213,Братья Карамазовы,Fiódor Dostoievski,Literature - Classics / Criticism,Literature - Classics / Criticism Russian Literature: Classics Classics Literary 19th century fiction Russian Novel Crime and criminals Russian literature Fiction,0,1880,8272336
214,No Country for Old Men,Cormac McCarthy,Fiction,"Fiction Drug traffic Sheriffs Treasure-trove Treasure troves Suspense fiction Literature Psychological fiction Fiction, suspense Fiction, psychological",0,1900,9296899
215,Dog Days,Jeff Kinney,Clergy,Clergy Dogs Fiction Spouses of clergy Theft Summer Humorous stories Diaries Vacations Juvenile fiction,0,2007,12366143
216,The Passage,Justin Cronin,FICTION,FICTION MODERN & CONTEMPORARY FICTION (POST C 1945) HORROR & GHOST STORIES SCIENCE FICTION FANTASY Vampire fiction Novels Medical fiction Detective and mystery fiction Suspense fiction,0,2010,8261369
217,The Last Battle,C. S. Lewis,Juvenile Fiction,"Juvenile Fiction Science Fiction & Fantasy Fiction Fantasy Children's fiction Narnia (imaginary place), fiction Fantasy fiction Juvenile Narnia (Imaginary place) Magic",0,1956,6529226
218,The Darkest Minds,Alexandra Bracken,JUVENILE FICTION / Action & Adventure / General,JUVENILE FICTION / Action & Adventure / General JUVENILE FICTION / Love & Romance Prisoners Fiction Science fiction Interpersonal relations Psychic ability JUVENILE FICTION / Fantasy & Magic Love & Romance Action & Adventure,0,2012,7262992
219,Mr. Mercedes,Stephen King,horror,horror mystery crime FICTION / Horror FICTION / General FICTION / Suspense Serial murderers Mercedes automobiles Fiction Horror stories,0,2013,14653120
220,"Are You There God? It's Me, Margaret",Judy Blume,Children's Middle Grade Books,Children's Middle Grade Books young adult novels puberty menarche Christians Jews prayer sanitary napkins menstruation Seven Minutes in Heaven,0,1970,12388102
221,Ready Player One,Ernest Cline,Regression (Civilization),"Regression (Civilization) Utopias Virtual reality Fiction Puzzles Fiction, science fiction, action & adventure Fiction, dystopian Shared virtual environments YOUNG ADULT FICTION / Computers & Digital Media YOUNG ADULT FICTION / Dystopian",0,2008,8737626
222,Phantastes,George MacDonald,Fairy tales,"Fairy tales Scottish Fantasy fiction Fiction, romance, fantasy Fiction, science fiction, general Fiction, fantasy, general Classic Literature Fantasy Fiction English literature Fairies",0,1850,14358814
223,Origin,Dan Brown,"Fiction, thrillers","Fiction, thrillers Fiction, suspense Langdon, robert (fictitious character), fiction Spain, fiction Fiction, thrillers, general nyt:hardcover-fiction=2017-10-22 New York Times bestseller Fiction, thrillers, suspense Robert Langdon (Fictitious character) Fiction",0,2013,11013590
224,The Call of the Wild,Jack London,Gold discoveries,Gold discoveries Bienestar Lobos Descubrimiento de oro Crítica e interpretación American Nature stories Cartoons and comics Feral dogs Robo de mascotas Pet theft,0,1903,12393037
225,The Jungle Book,Rudyard Kipling,Jungles,"Jungles Fiction Juvenile fiction Animals Romans, nouvelles, etc. pour la jeunesse Novela juvenil Selvas Animales Jungle animals Mowgli (Fictitious character)",0,1893,3344204
226,Peter Pan,J. M. Barrie,Open Library Staff Picks,Open Library Staff Picks English Children's fiction Pop-up books Toy and movable books Never-Never Land (Imaginary place) Specimens Juvenile fiction Fiction Peter Pan (Fictitious character) open_syllabus_project,0,1911,8237052
227,Foundation and Earth,Isaac Asimov,Fiction,"Fiction Psychohistory Life on other planets Science fiction Fiction, science fiction, general Fiction, general Long Now Manual for Civilization",0,1986,9304027
228,Witches Abroad,Terry Pratchett,English Fantasy fiction,"English Fantasy fiction Discworld (Imaginary place) Fiction Fantasy Witches Occult fiction Fiction, fantasy, general Discworld (imaginary place), fiction Granny weatherwax (fictitious character), fiction Fiction, humorous",0,1991,14645790
229,Dandelion Wine,Ray Bradbury,Fiction,"Fiction Boys City and town life Translations into Russian Science fiction, American American Science fiction Illinois, fiction Fiction, coming of age Bildungsromans American Fantasy fiction",0,1946,14831327
230,Forest of Secrets,Erin Hunter,Cats,"Cats Fantasy Fantasy Fiction Feral Cats Fiction Juvenile Fiction Children's fiction Cats, fiction Courage English Fantasy fiction",0,2003,8416885
231,Hard Luck,Jeff Kinney,Humorous stories,Humorous stories Fortune Diaries Middle schools Accelerated readers (BUR) Juvenile fiction Fiction Schools Friendship Luck,0,2013,10302464
232,A Discovery of Witches,Deborah Harkness,Vampires--Fiction.,Vampires--Fiction. Witches--Fiction. Alchemy--Manuscripts--Fiction. Science and magic--Fiction. Alchemy Vampires Witches Manuscripts Science and magic Fiction,0,2011,6998669
233,The Martian,Andy Weir,Science-Fiction,Science-Fiction Science Fiction & Fantasy Suspense & Thriller Science fiction Amerikanisches Englisch Astronauts Survival Fiction Survival skills Supervivencia,0,2011,11447888
234,The Book of Dragons,Edith Nesbit,Juvenile fiction,"Juvenile fiction Children's stories, English Fiction Fairy tales Dragons Short stories Children: Grades 2-3 Children's fiction Dragons, fiction Children's stories",0,1973,4342323
235,Stoner,John Williams,domestic fiction,domestic fiction psychological fiction Literature Fiction Study and teaching College teachers Adultery English teachers Marital conflict campus,0,1965,8310729
236,Oryx and Crake,Margaret Atwood,Literary Fiction,Literary Fiction friendship fantasy genetic engineering fiction science fiction Triangles (Interpersonal relations) Open Syllabus Project Long Now Manual for Civilization romance,0,2002,12507658
237,A Room with a View,E. M. Forster,British,British Fiction Young women British in fiction England in fiction Travel Young women in fiction love romance Movie novels,0,1905,1748132
238,The Hired Girl,Laura Amy Schlitz,Women household employees,Women household employees diaries authorship farm life young adult fiction hired help Young adult works Teen fiction Diary fiction Historical fiction,0,2015,11610624
239,Lolita,Vladimir Nabokov,erotic fiction,erotic fiction romance fiction fiction love stories novela literary fiction classic fiction coming-of-age Girls in fiction Girls,0,1777,12984540
240,Atonement,Ian McEwan,historical romance,historical romance Dunkirk Evacuation National Book Critics Circle Award Winner award:national_book_critics_circle_award=2002 award:national_book_critics_circle_award=fiction Psychological fiction Teenage girls Fiction Atonement Ex-convicts,0,2001,8381043
241,Cabin Fever,Jeff Kinney,New York Times bestseller,New York Times bestseller nyt:series_books=2009-01-10 Diary Of A Wimpy Kid Book 06 Cabin Fever Families Middle schools Diary fiction Juvenile fiction Holidays Blizzards Boredom,0,2007,7247522
242,God Emperor of Dune,Frank Herbert,American Science fiction,"American Science fiction Dune (imaginary place), fiction Fiction, science fiction, general Dune (Imaginary place) Fiction Science fiction Roman Science-fiction Littérature fantastique Français (langue)",0,1981,6711531
243,"After (After Series, Book 1)",Anna Todd,Man-woman relationships,"Man-woman relationships Contemporary Women Contemporary FICTION Romance Fiction, romance, contemporary Fiction, women FICTION / Romance / Contemporary FICTION / Contemporary Women nyt:combined-print-and-e-book-fiction=2019-04-28",0,2014,14418944
244,채식주의자,Han Kang,Vegetarians,"Vegetarians Women Fiction Families Dreams Korea, fiction Fiction, psychological Fiction, family life Fiction, family life, general Interpersonal relations",0,2007,7412625
245,Le avventure di Pinocchio,Carlo Collodi,Fantasy,"Fantasy Puppets Fiction Fairy tales Children's stories, Italian Latin language Readers dormice ringmasters glowworrms",0,1883,8597022
246,Cat's Cradle,Kurt Vonnegut,End of the world,"End of the world Fiction American Fantasy fiction Classic Literature Humor (Fiction) Science Fiction Large type books American fiction (fictional works by one author) Fiction, humorous Fiction, science fiction, general",0,1963,12709654
247,The Restaurant at the End of the Universe,Douglas Adams,Fiction,"Fiction Humorous fiction humorous stories Interplanetary voyages Restaurants Science Fiction Interstellar travel Life on other planets Prefect, ford (fictitious character), fiction Dent, arthur (fictitious character), fiction",0,1980,12714921
248,After the Funeral,Agatha Christie,Fiction,"Fiction Mystery Hercule Poirot (Fictitious character) Private investigators Belgians Mystery and detective stories England, fiction Fiction, mystery & detective, traditional Private investigators, fiction Belgium, fiction",0,1953,12996535
249,The Queen of Nothing,Holly Black,Children's fiction,"Children's fiction Kings, queens, rulers, etc., fiction Courts and courtiers, fiction Sisters, fiction Fairies, fiction Twins, fiction Fantasy fiction Fiction, fantasy, general Fiction, general Blessing and cursing",0,2019,9146990
250,I am Legend,Richard Matheson,"Fiction, horror","Fiction, horror Fiction, science fiction, general Vampires, fiction Vampires Fiction Epidemics Human experimentation in medicine Zombies Romans, nouvelles American Science fiction",0,1954,911109
251,The Silver Chair,C. S. Lewis,Fiction,"Fiction Juvenile Fiction Science Fiction & Fantasy Children: Grades 2-3 Imaginary Voyages Magic Princes Fantasy fiction Children's stories, English Captives",0,1953,6950992
252,Eclipse,Stephenie Meyer,New York Times bestseller,New York Times bestseller Werewolves Interpersonal relations Vampires High schools Schools Fiction nyt:series_books=2008-03-15 Novela de misterio Vampiros,0,2006,12643410
253,Rainbow six,Tom Clancy,Terrorists,"Terrorists Open Library Staff Picks Fiction Terrorism John Clark (Fictitious character) Prevention Fiction, action & adventure Terrorism, fiction Fiction, technological Fiction, thrillers, general",0,1998,3100545
254,The Man in the High Castle,Philip K. Dick,award:hugo_award=1963,"award:hugo_award=1963 Fiction Hugo Award Winner Science Fiction award:hugo_award=novel Fiction, alternative history Fiction, science fiction, general nyt:trade-fiction-paperback=2015-12-13 New York Times bestseller nyt:combined-print-and-e-book-fiction=2015-12-13",0,1962,420452
255,Things Fall Apart,Chinua Achebe,20th century literature,20th century literature Christianity masculinity British colonialism LANGUAGE & LITERARY STUDIES CONTEMPORARY FICTION literature Race relations Men British,0,1958,12816943
256,The Witches,Roald Dahl,Fiction,Fiction Witches Grandmothers Juvenile fiction Ficción juvenil Brujas Readers Abuelas Spanish language Juvenile Literature,0,1983,12374442
257,Pet Sematary,Stephen King,fiction,fiction thrillers suspense horror occult psychological trauma spinal meningitis flashback heart attack burial ground,0,1983,12015500
258,Krew elfów,Andrzej Sapkowski,Fantasy,"Fantasy Fiction Fiction, fantasy, general Science fiction, fantasy, horror Assassins Polish Fantasy fiction Fiction, fantasy, epic Vampires, fiction nyt:trade-fiction-paperback=2022-01-09 New York Times bestseller",0,1994,8457619
259,Les trois Mousquetaires,Alexandre Dumas,History,"History Fiction Swordsmen France in fiction Vietnamese language books Swordplay Adventure and adventurers Spanish language materials Romans, nouvelles, etc. pour la jeunesse Histoire",0,1844,11929973
260,Reaper Man,Terry Pratchett,"Fiction, humorous","Fiction, humorous Fiction, fantasy, general Discworld (imaginary place), fiction English literature Fiction Discworld (Imaginary place) Death Fantasy Fiction, thrillers, general Death (fictitious character : pratchett), fiction",0,1991,14648856
261,Poirot investigates,Agatha Christie,Hercule Poirot (Fictitious character),Hercule Poirot (Fictitious character) Private investigators Chief Inspector Japp (Fictitious character) Belgians English Detective and mystery stories Detective and mystery stories Fiction Captain Hastings (Fictitious character) English Short stories Historical Fiction,0,1924,13670505
262,三体,刘慈欣,Hugo Award Winner,Hugo Award Winner award:hugo_award=2015 award:hugo_award=novel Human-alien encounters Imaginary wars and battles Fiction Chinese fiction FICTION / Science Fiction / General Science fiction General,0,2008,9157544
263,Dirk Gently’s Holistic Detective Agency,Douglas Adams,Fantasy,Fantasy Krimi abiogenesis laudanum Kubla Khan The Rime of the Ancient Mariner detective fiction Mystery & Detective fiction time travel Modern & Contemporary Fiction,0,1987,11465456
264,Outlander,Diana Gabaldon,"Man-woman relationships, fiction","Man-woman relationships, fiction Historical fiction Culloden, Battle of, Scotland, 1746 Jacobite Rebellion, 1745-1746 in fiction History Scotland in fiction Fiction Jacobite Rebellion, 1745-1746 Culloden, Battle of Scotland, 1746 Time travel in fiction",0,1991,14428230
265,The Lathe of Heaven,Ursula K. Le Guin,Dreams,Dreams Fiction Fiction in English Science fiction Dystopian fiction Nature Psychotherapist and patient Social change Effect of human beings on Dreams -- Fiction,0,1971,26458
266,The Viscount Who Loved Me,Julia Quinn,"Fiction, Romance, Historical, Regency","Fiction, Romance, Historical, Regency Social life and customs, fiction Manners and customs, fiction Sisters, fiction Londres (Inglaterra) Novela Hermanas nyt:trade-fiction-paperback=2021-05-16 New York Times bestseller Marriage, fiction",0,2000,492893
267,Women in Love,D. H. Lawrence,Romance,Romance Classic Literature Male friendship Open Library Staff Picks Fiction Social classes Social conditions Interpersonal relations open_syllabus_project Sisters,0,1877,13140934
268,Killing Floor,Lee Child,English language,"English language Fiction Private investigators Murder Drifters Mystery Government investigators Fiction, suspense Fiction, thrillers, general Private investigators, fiction",0,1997,11089125
269,Diary of a Wimpy Kid Party Pooper,Jeff Kinney,"Birthdays, fiction","Birthdays, fiction Juvenile fiction",0,2025,15179458
270,Good Omens,Terry Pratchett,End of the world,End of the world Humorous Fantasy fiction Fiction Prophecies Occult fiction Witches Humorous fiction Apocalypse Roman,0,1990,10482258
